title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Analisis dan Tafsiran,radio,Margin Untung Kasar 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 2,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 365,(Akaun Belum Bayar / Belian Kredit) x 365,,A,
,radio,Margin Untung Bersih 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 3,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 366,(Akaun Belum Bayar / Belian Kredit) x 366,,B,
,radio,Tokokan 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 4,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 367,(Akaun Belum Bayar / Belian Kredit) x 367,,C,
,radio,Pulangan atas modal 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 5,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 368,(Akaun Belum Bayar / Belian Kredit) x 368,,D,
,radio,Nisbah Semasa 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 6,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 369,(Akaun Belum Bayar / Belian Kredit) x 369,,E,
,radio,Nisbah Ujian Asid 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 7,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 370,(Akaun Belum Bayar / Belian Kredit) x 370,,F,
,radio,Inventori purata 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 8,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 371,(Akaun Belum Bayar / Belian Kredit) x 371,,G,
,radio,Kadar pusing ganti inventori 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 9,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 372,(Akaun Belum Bayar / Belian Kredit) x 372,,H,
,radio,Tempoh kutipan hutang 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 10,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 373,(Akaun Belum Bayar / Belian Kredit) x 373,,I,
,radio,Tempoh pembayaran hutang 怎么算？,(Untung Kasar / Jualan Bersih) x 100%,(Untung Bersih / Jualan Bersih) x 100%,(Untung Kasar / Kos Jualan) x 100%,(Untung Bersih / Modal) x 100%,Aset Semasa / Liabiliti Semasa,(Aset Semasa - Inventori Akhir) / Liabiliti Semasa,(Inventori Awal + Inventori Akhir) / 11,Kos Jualan / Inventori Purata,(Akaun Belum Terima / Jualan Kredit) x 374,(Akaun Belum Bayar / Belian Kredit) x 374,,J,
