title,type,question,A,B,C,D,answer,image
RTL Perbandingan,radio,Belanja Belum Bayar 进哪里?,Aset Semasa,Liabiliti Semasa,,,B,
,radio,Belanja Prabayar 进哪里?,Aset Semasa,Liabiliti Semasa,,,A,
,radio,Hasil Belum Terima 进哪里?,Aset Semasa,Liabiliti Semasa,,,A,
,radio,Hasil Belum Terperoleh 进哪里?,Aset Semasa,Liabiliti Semasa,,,B,
,radio,Hasil Belum Terperoleh 年头怎么修改？,+,-,,,A,
,radio,Hasil Belum Terima 年头怎么修改？,+,-,,,B,
,radio,Belanja Belum Bayar 年头怎么修改？,+,-,,,B,
,radio,Belanja Prabayar 年头怎么修改？,+,-,,,A,
,radio,Hasil Belum Terperoleh 年尾怎么修改？,+,-,,,B,
,radio,Hasil Belum Terima 年尾怎么修改？,+,-,,,A,
,radio,Belanja Belum Bayar 年尾怎么修改？,+,-,,,A,
,radio,Belanja Prabayar 年尾怎么修改？,+,-,,,B,
,radio,Susut Nilai 怎么算？,年头 + 买的 - 年尾,Kos x 10%,(Kos - Susut Nilai Terkumpul) x 10%,(Kos - Nilai Skrap) ÷ Tahun,A,
,radio,Alat Tulis 怎么算？,年头 + 买的 - 年尾,年头 - 买的 + 年尾,年头 - 买的 - 年尾,年头 + 买的 + 年尾,A,
,radio,Inventori Alat Tulis 进哪里?,Aset Semasa,Liabiliti Semasa,,,A,
,radio,Jumlah Jualan 怎么算？,Jualan Tunai + Jualan Kredit,Jualan Tunai + Jualan Kredit + Jualan Bank,Jualan Tunai - Jualan Kredit,Jualan Kredit - Jualan Tunai,A,
,radio,Jumlah Belian 怎么算？,Belian Tunai + Belian Kredit,Belian Tunai + Belian Kredit + Belian Bank,Belian Tunai - Belian Kredit,Belian Kredit - Belian Tunai,A,
,radio,Jualan Kredit怎么算？,Akaun Belum Terima (Bank + 年头 - 年尾),Akaun Belum Terima (Bank + 年尾 - 年头 ),Akaun Belum Terima (年尾 - 年头 - Bank ),Akaun Belum Terima (年头 + Bank - 年尾),B,
,radio,Belian Kredit怎么算？,Akaun Belum Bayara (Bank + 年头 - 年尾),Akaun Belum Bayara (Bank + 年尾 - 年头 ),Akaun Belum Bayara (年尾 - 年头 - Bank ),Akaun Belum Bayara (年头 + Bank - 年尾),B,

