title,type,question,A,B,C,D,answer,image
Penyata Penyesuaian Bank,radio,Pihak bank telah membayar insurans sebanyak RM600 dan sewa kedai RM1 000 bagi perintah sedia ada.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Cek yang dikeluarkan kepada pembekal sebanyak RM2 500 belum dikemukakan untuk pembayaran.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,C,
,radio,Deposit sebanyak RM3 200 belum dikreditkan oleh pihak bank.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,D,
,radio,Dividen atas simpanan tetap berjumlah RM700 belum direkodkan dalam Buku Tunai.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Bayaran buku cek RM50 belum direkodkan dalam Buku Tunai.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,A,
,radio,Sekeping cek berjumlah RM1 300 dipulangkan oleh pihak bank kerana tak laku.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Deposit cek RM1 180 daripada Lily Trading pada 30 Mei 2025 belum dikreditkan oleh bank.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,D,
,radio,Bank telah membayar premium insurans RM325 dan ansuran pinjaman RM650 bagi pihak perniagaan menggunakan perkhidmatan perintah sedia ada.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Sekeping cek RM870 dibayar kepada Aiman Trading telah dicatatkan RM780 dalam Buku Tunai.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Cek RM1 200 untuk bayaran sewa dan RM1 520 kepada Anip Enterprise belum dikemukakan kepada bank.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,C,
,radio,Cek RM1 500 yang diterima daripada Amer Teknologi telah dipulangkan oleh bank dengan tanda “Rujuk Penyuruh bayar”.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Cek RM700 daripada AZ Telco telah dikreditkan oleh bank dan direkodkan di sebelah kredit Buku Tunai.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,A,
,radio,Faedah simpanan RM112,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,A,
,radio,Caj bank RM35,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Komisen diterima RM170,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,A,
,radio,Cek daripada Radzi sebanyak RM2 700 pada 2025 belum dikreditkan oleh bank.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,D,
,radio,"Pada 26 Jun 2025, pihak bank telah membuat pembayaran premium insurans bagi pihak Iridina Enterprise berjumlah RM720.",Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Bank telah mengkreditkan akaun Iridina Enterprise dengan faedah atas simpanan tetap sebanyak RM120.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,A,
,radio,Sekeping cek bernilai RM646 yang dibayar kepada Rossa Mart telah dicatat dalam Buku Tunai sebagai RM664.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,A,
,radio,"Cek-cek berikut belum dikemukakan kepada bank: Cek bernombor 201018 untuk komisen RM1 500, cek bernombor 201022 untuk gaji RM4 100 dan cek bernombor 201023 untuk alatan pejabat RM580.",Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,C,
,radio,Cek bernombor 201016 berjumlah RM690 untuk bayaran kepada Ilham Trading telah tersilap direkod dalam Buku Tunai sebagai RM960.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,A,
,radio,Cek RM650 yang diterima daripada Ameeqa Enterprise pada 16 Mei dipulangkan oleh bank dengan tanda “Rujuk Pesuruh Bayar”.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Pihak bank telah membayar insurans RM350 bagi perintah sedia ada.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Cek berjumlah RM1 950 yang diterima daripada pelanggan Muiz telah dipulangkan oleh bank bertanda “Rujuk Penyuruh Bayar”.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,B,
,radio,Cek berjumlah RM2 400 untuk sewa dan RM2 680 kepada Encik Bakar belum dikemukakan kepada bank.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,C,
,radio,Encik Iskandar telah mendepositkan cek daripada pelanggan Julieta berjumlah RM4 461 ke dalam bank tetapi tersilap dicatat sebagai RM4 361 dalam Buku Tunai.,Buku Tunai Debit (+),Buku Tunai Kredit (-),Cek belum dikemukakan,Deposit belum dikreditkan,A,
