title,type,question,A,B,C,D,E,F,answer,image
Penyata Penyesuaian Bank,radio,Cek Tak Laku 进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,B,
,radio,Buku Tunai 的 debit 少写RM50，Kesilapan 要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,A,
,radio,Buku Tunai 的 kredit 少写RM50，Kesilapan 要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,B,
,radio,Buku Tunai 的 debit 多写RM50，Kesilapan 要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,B,
,radio,Buku Tunai 的 kredit 多写RM50，Kesilapan 要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,A,
,radio,Buku Tunai 的 debit 少写RM50，Kesilapan 要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,A,
,radio,Buku Cek 要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,B,
,radio,Dividen 要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,A,
,radio,题目的Buku Tunai debit 的支票要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,D,
,radio,题目的Buku Tunai kredit 的支票要进哪里？,Buku Tunai Debit,Buku Tunai Kredit,Cek belum dikemukakan,Deposit belum dikreditkan,,,C,
,radio,"题目里的 Buku Tunai baki h/b 在debit, 所以我们开Buku Tunai的时候要进在",Buku Tunai Debit,Buku Tunai Kredit,,,,,B,
,radio,"题目里的 Buku Tunai baki h/b 在kredit, 所以我们开Buku Tunai的时候要进在",Buku Tunai Debit,Buku Tunai Kredit,,,,,A,
,radio,"做完Buku Tunai 后 baki b/b 1200 在 debit, Penyata Penyesuaian Bank 应该要写","Baki debit di buku tunai, 1200","Baki kredit di buku tunai, 1200","Baki debit di buku tunai, (1200)","Baki kredit di buku tunai, (1200)",,,A,
,radio,"做完Buku Tunai 后 baki b/b 1200 在 kredit, Penyata Penyesuaian Bank 应该要写","Baki debit di buku tunai, 1200","Baki kredit di buku tunai, 1200","Baki debit di buku tunai, (1200)","Baki kredit di buku tunai, (1200)",,,D,
,radio,"Penyata Penyesuaian Bank 做完后答案是Positif, 应该要写",Baki debit di penyata bank,Baki kredit di penyata bank,,,,,B,
,radio,"Penyata Penyesuaian Bank 做完后答案是Negatif, 应该要写",Baki debit di penyata bank,Baki kredit di penyata bank,,,,,A,
