title,type,question,A,B,C,D,E,F,G,answer,image
Realisasi,checkbox,Kenderaan 卖掉,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,"B,E",
,checkbox,Inventori 卖掉,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,"B,E",
,checkbox,Kenderaan 被 Pekongsi 拿走,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,"B,C",
,checkbox,跟 Akaun Belum Terima 收回的钱,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,"B,E",
,checkbox,Pekongsi 负责收 Akaun Belum Terima 的钱,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,"B,C",
,radio,还 Akaun Belum Bayar 钱,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,F,
,radio,还 Liabiliti,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,F,
,radio,Diskaun Diterima,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,B,
,radio,Diskaun Diberi,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,G,
,radio,Hutang lapuk,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,G,
,radio,Pekongsi 负责还 Liabiliti,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,D,
,checkbox,Belanja pembubaran,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,"A,F",
,checkbox,发现新的 Belanja / Liabiliti,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,"A,F",
,checkbox,Pekongsi 负责还新的 Belanja / Liabiliti,A / Akaun Realisasi dt,B / Akaun Realisasi kt,C / Akaun Modal dt,D / Akaun Modal kt,E / Akaun Bank dt,F / Akaun Bank kt,不需要,"A,D",
