title,type,question,A,B,C,D,E,F,answer,image
Akaun Kawalan,radio,Jumlah Jualan = ,Jualan Tunai + Jualan Kredit,Jualan Tunai - Jualan Kredit,Jualan Kredit - Jualan Tunai,,,,A,
,radio,Jumlah Belian = ,Belian Tunai + Belian Kredit,Belian Tunai - Belian Kredit,Belian Kredit - Belian Tunai,,,,A,
,radio,开 Akaun Kawalan Belum Terima 是要计算,Jualan Kredit,Jualan Tunai,Belian Kredit,Belian Tunai,,,A,
,radio,开 Akaun Kawalan Belum Bayar 是要计算,Jualan Kredit,Jualan Tunai,Belian Kredit,Belian Tunai,,,C,
,radio,Akaun Belum Terima 还我钱 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,B,
,radio,我还 Akaun Belum Bayar 钱 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,C,
,radio,Pulangan Jualan 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,B,
,radio,Pulangan Belian 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,C,
,radio,Diskaun Diberi 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,B,
,radio,Diskaun Diterima 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,C,
,radio,Akaun Belum Terima Baki b/b 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,A,
,radio,Akaun Belum Bayar Baki b/b 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,D,
,radio,Akaun Belum Bayar Baki h/b 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,C,
,radio,Akaun Belum Terima Baki h/b 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,B,
,radio,Yuran lapuk 进哪里？,Akaun Kawalan Belum Terima debit (A),Akaun Kawalan Belum Terima kredit (B),Akaun Kawalan Belum Bayar debit (C),Akaun Kawalan Belum Bayar kredit (D),不用记录,,B,
