title,type,question,A,B,C,D,E,F,answer,image
Akaun Pendapatan dan Perbelanjaan,radio,年头的 Belum Terima 应该是,+,-,,,,,B,
,radio,年尾的 Belum Terima 应该是,+,-,,,,,A,
,radio,年尾的 Belum Terperoleh 应该是,+,-,,,,,B,
,radio,年头的 Belum Terperoleh 应该是,+,-,,,,,B,
,radio,年头的 Belum Bayar 应该是,+,-,,,,,B,
,radio,年尾的 Belum Bayar 应该是,+,-,,,,,A,
,radio,年尾的 Prabayar 应该是,+,-,,,,,B,
,radio,年头的 Prabayar 应该是,+,-,,,,,A,
,radio,Susut Nilai 的算法,年头 + 买的 - 年尾,年头 - 买的 + 年尾,年尾 + 买的 - 年头,年尾 - 买的 + 年头,,,A,
,radio,Alat Tulis 的算法,年头 + 买的 - 年尾,年头 - 买的 + 年尾,年尾 + 买的 - 年头,年尾 - 买的 + 年头,,,A,
,radio,Pendapatan Hasil 进哪里？,Pendapatan,Dana Terkumpul,Perbelanjaan,Aset Bukan Semasa,,,A,
,radio,Pendapatan Modal 进哪里？,Pendapatan,Dana Terkumpul,Perbelanjaan,Aset Bukan Semasa,,,B,
,radio,Perbelanjaam Hasil 进哪里？,Pendapatan,Dana Terkumpul,Perbelanjaan,Aset Bukan Semasa,,,C,
,radio,Perbelanjaam Modal 进哪里？,Pendapatan,Dana Terkumpul,Perbelanjaan,Aset Bukan Semasa,,,D,
