title,type,question,A,B,C,D,E,F,G,H,answer,image
Kos Pengeluaran,checkbox,Kos Prima 有,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Kerja dalam Proses Awal,Kerja dalam Proses Akhir,,,"A,B,C",
,radio,Gaji pengurus kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Gaji penyelia kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Gaji pengawal keselamatan kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Penyelia stor,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Gaji kerani kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Bahan api,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Minyak pelincir,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Belanja alat-alat kecil,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Kadar bayaran,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Cukai tanah kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Sewa bangunan kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
